name	formula	rt	id	pubchem.smiles.canonical	
isohopeaphenol	C56H42O12	10.7	27014_00057	C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O	
L-Arginine	C6H14N4O2	1.2425	27014_00058	C(CC(C(=O)O)N)CN=C(N)N	
L-tartaric acid	C4H6O6	1.46	27014_00059	C(C(C(=O)O)O)(C(=O)O)O	
quinic acid	C7H12O6	1.58	27014_00060	C1C(C(C(CC1(C(=O)O)O)O)O)O	
succinic acid	C4H6O4	3.94	27014_00061	C(CC(=O)O)C(=O)O	
proprionic acid	C3H6O2	3.95	27014_00062	CCC(=O)O	
citramalic acid	C5H8O5	4.02	27014_00063	CC(CC(=O)O)(C(=O)O)O	
L-tyrosine	C9H11NO3	4.28	27014_00064	C1=CC(=CC=C1CC(C(=O)O)N)O	
L-isoleucine	C6H13NO2	4.44	27014_00065	CCC(C)C(C(=O)O)N	
choline	C5H14NO	1.294827586	27014_00066	C[N+](C)(C)CCO	
betaine	C5H11NO2	1.340862069	27014_00067	C[N+](C)(C)CC(=O)[O-]	
L-valine	C5H11NO2	1.340862069	27014_00068	CC(C)C(C(=O)O)N	
L-proline	C5H9NO2	1.510344828	27014_00069	C1CC(NC1)C(=O)O	
L-glutathione	C10H17N3O6S	1.696551724	27014_00070	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N	
uracil	C4H4N2O2	2.337068966	27014_00071	C1=CNC(=O)NC1=O	
uric acid	C5H4N4O3	3.442586207	27014_00072	C12=C(NC(=O)N1)NC(=O)NC2=O	
xanthine	C5H4N4O2	3.966206897	27014_00073	C1=NC2=C(N1)C(=O)NC(=O)N2	
