id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
0392_00024			21.04			C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O							
0392_00025			19.53			C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O							
0392_00026			19.73			C1=CC=C(C(=C1)C=CC(=O)O)O							
0392_00027			20.67482759			COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O							
0392_00028			17.57			C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O							
0392_00029			20.21			C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O							
0392_00030			21.06			C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O							
0392_00031			17.88			C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O							
0392_00032			9.66			C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O							
0392_00033			21.89			COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC							
0392_00034			17.38			C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O							
0392_00035			19.91			C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O							
0392_00036			20.37			C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O							
0392_00037			20.11			C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O							
0392_00038			20.0			C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O							
0392_00039			20.0			CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O							
0392_00040			13.78			COC1=CC(=CC(=C1O)OC)C(=O)O							
0392_00041			16.82			C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O							
0392_00042			10.7			C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O							
0392_00043			20.75625			C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O							
0392_00044			20.59			COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O							
0392_00045			21.96			CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O							
0392_00046			19.35			CCOC1=CC=C(C=C1)NC(=O)C							
0392_00047			19.86			COC1C(C(C(C(O1)C(=O)O)O)O)O							
0392_00048			16.06			COC(=O)C1=COC(C2C1CC=C2CO)O							removed duplet entry
0392_00049			19.30034483			COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O							
0392_00050			18.3487931			C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O							
0392_00051			12.73			C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O							
0392_00052			7.77			C1=CC(=C(C=C1C(=O)O)O)O							
0392_00053			17.82			C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O							
0392_00054			15.16			CCOC(=O)C1=CC(=C(C(=C1)O)O)O							
0392_00055			10.7			C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O							
0392_00056			1.2425			C(CC(C(=O)O)N)CN=C(N)N							
0392_00057			1.46			C(C(C(=O)O)O)(C(=O)O)O							
0392_00058			1.58			C1C(C(C(CC1(C(=O)O)O)O)O)O							
0392_00059			3.94			C(CC(=O)O)C(=O)O							
0392_00060			3.95			CCC(=O)O							
0392_00061			4.02			CC(CC(=O)O)(C(=O)O)O							
0392_00062			4.28			C1=CC(=CC=C1CC(C(=O)O)N)O							
0392_00063			4.44			CCC(C)C(C(=O)O)N							
0392_00064			1.294827586			C[N+](C)(C)CCO							
0392_00065			1.340862069			C[N+](C)(C)CC(=O)[O-]							
0392_00066			1.340862069			CC(C)C(C(=O)O)N							
0392_00067			1.510344828			C1CC(NC1)C(=O)O							
0392_00068			1.696551724			C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N							
0392_00069			2.337068966			C1=CNC(=O)NC1=O							
0392_00070			3.442586207			C12=C(NC(=O)N1)NC(=O)NC2=O							
0392_00071			3.966206897			C1=NC2=C(N1)C(=O)NC(=O)N2							
