formula	rt	name	comment	id	pubchem.smiles.canonical	pubchem.smiles.isomeric	pubchem.cid	pubchem.inchikey	Unnamed: 9
C16H18O10	12.6	fraxin		46988_00014	COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O		5909448	CRSFLLTWRCYNNX-UHFFFAOYSA-N	
C16H14O6	21.13	hesperetin		46988_00015	COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O		3593	AIONOLUJZLIMTK-UHFFFAOYSA-N	
C22H22O12	20.53	isorhamnetin 3-glucoside		46988_00016	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O		13245586	CQLRUIIRRZYHHS-UHFFFAOYSA-N	
C28H32O16	20.59	isorhamnetin 3-rutinoside		46988_00017	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O		6223069	UIDGLYUNOUKLBM-UHFFFAOYSA-N	
C21H24O9	17.61	isorhapontin		46988_00018	COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O		5090283	KLPUXMNQDCUPNO-UHFFFAOYSA-N	
C21H20O11	20.285	kaempferol 3-glucoside		46988_00019	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O		5462193	JPUKWEQWGBDDQB-UHFFFAOYSA-N	
C27H30O15	20.49	kaempferol 3-rutinoside		46988_00020	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O		12313332	RTATXGUCZHCSNG-UHFFFAOYSA-N	
C21H20O11	19.73	luteolin 7-glucoside		46988_00021	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O		5291488	PEFNSGRTCBGNAN-UHFFFAOYSA-N	
C8H8O5	10.73	methyl gallate		46988_00022	COC(=O)C1=CC(=C(C(=C1)O)O)O		7428	FBSFWRHWHYMIOG-UHFFFAOYSA-N	
C15H10O8	20.46	myricetin		46988_00023	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O		5281672	IKMDFBPHZNJCSN-UHFFFAOYSA-N	
C15H12O5	21.04	naringenin		46988_00024	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O		932	FTVWIRXFELQLPI-UHFFFAOYSA-N	
C21H22O10	19.53	naringenin 7-glucoside		46988_00025	C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O		282013	DLIKSSGEMUFQOK-UHFFFAOYSA-N	
C9H8O3	19.73	o-coumaric acid		46988_00026	C1=CC=C(C(=C1)C=CC(=O)O)O		11968	PMOWTIHVNWZYFI-UHFFFAOYSA-N	
C25H24O13	20.67482759	oxovitisin A		46988_00027	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O	136740013	ZHRWIFDUQBVARB-DCNRUEEBSA-N	
C28H22O6	17.57	pallidol		46988_00028	C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O		57518717	YNVJOQCPHWKWSO-UHFFFAOYSA-N	
C21H24O10	20.21	phloridzin		46988_00029	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O		4789	IOUVKUPGCMBWBT-UHFFFAOYSA-N	
C15H14O5	21.06	phloretin		46988_00030	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O		4788	VGEREEWJJVICBM-UHFFFAOYSA-N	
C14H12O4	17.88	piceatanol		46988_00031	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O		4813	CDRPUGZCRXZLFL-UHFFFAOYSA-N	
C30H26O12	9.66	procyanidin B1		46988_00032	C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O		130556	XFZJEEAOWLFHDH-UHFFFAOYSA-N	
C16H16O3	21.89	pterostilbene		46988_00033	COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC		160517	VLEUZFDZJKSGMX-UHFFFAOYSA-N	
C27H30O17	17.38	quercetin 3,4'-diglucoside		46988_00034	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O		22630387	RPVIQWDFJPYNJM-UHFFFAOYSA-N	
C21H18O13	19.91	quercetin 3-glucuronide		46988_00035	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O		12004528	DUBCCGAQYVUYEU-UHFFFAOYSA-N	
C21H20O12	20.37	quercetin 4'-glucoside		46988_00036	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O		12442954	OIUBYZLTFSLSBY-UHFFFAOYSA-N	
C15H10O10S	20.11	quercetin 3-sulfate		46988_00037	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O		5280362	DNAYVNOVGHZZLH-UHFFFAOYSA-N	
C21H20O12	20.0	quercetin 3-glucoside		46988_00038	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O		13179952	OPJZLUXFQFQYAI-UHFFFAOYSA-N	
C27H30O16	20.0	quercetin 3-rutinoside		46988_00039	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O		5293655	IKGXIBQEEMLURG-UHFFFAOYSA-N	
C9H10O5	13.78	syringic acid		46988_00040	COC1=CC(=CC(=C1O)OC)C(=O)O		10742	JMSVCTWVEWCHDZ-UHFFFAOYSA-N	
C15H12O7	16.82	taxifolin		46988_00041	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O		471	CXQWRCVTCMQVQX-UHFFFAOYSA-N	
C13H12O8	10.7	trans coutaric acid		46988_00042	C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O		67380062	INYJZRKTYXTZHP-UHFFFAOYSA-N	
C21H24O10	20.75625	trans-Îµ-viniferin		46988_00043	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O		73830082	VZBPTZZTCBNBOZ-UHFFFAOYSA-N	
C17H14O7	20.59	trilobatin		46988_00044	COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O		5320945	MYMGKIQXYXSRIJ-UHFFFAOYSA-N	
C27H32O14	21.96	rhamnazin		46988_00045	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O		4441	DFPMSGMNTNDNHN-UHFFFAOYSA-N	
C10H13NO2	19.35	phenacetin		46988_00046	CCOC1=CC=C(C=C1)NC(=O)C		4754	CPJSUEIXXCENMM-UHFFFAOYSA-N	
C7H12O7	19.86	naringin		46988_00047	COC1C(C(C(C(O1)C(=O)O)O)O)O		413696	BOFXVYGDIRCHEQ-UHFFFAOYSA-N	
C11H14O5	2.43	methyl-glucuronide	removed another duplicate entry	46988_00048	COC(=O)C1=COC(C2C1CC=C2CO)O		23340	AZKVWQKMDGGDSV-UHFFFAOYSA-N	
C26H25O14	19.30034483	vitisin A		46988_00049	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O	135430431	HSMQGFKDKCAJDR-DMRYIZGCSA-O	
C56H42O12	18.3487931	vitisin B		46988_00050	C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O	C1=CC(=CC=C1[C@@H]2[C@H](C3=C(C=C(C=C3O2)O)/C=C/C4=CC5=C(C=C4)O[C@H]([C@@H]5C6=C7[C@@H]([C@H](OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O	16138152	WZKKRZSJTLGPHH-QGYUWUKLSA-N	
C22H18O11	12.73	epigallo-catechin gallate		46988_00051	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O		1287	WMBWREPUVVBILR-UHFFFAOYSA-N	
C7H6O4	7.77	3,4-dihydroxybenzoic acid		46988_00052	C1=CC(=C(C=C1C(=O)O)O)O		72	YQUVCSBJEUQKSH-UHFFFAOYSA-N	
C24H20O9	17.82	caffeic acid+catechin condensation product		46988_00053	C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O		496377	LKCOZWLUAKSRQM-UHFFFAOYSA-N	
C9H10O5	15.16	ethyl gallate 		46988_00054	CCOC(=O)C1=CC(=C(C(=C1)O)O)O		13250	VFPFQHQNJCMNBZ-UHFFFAOYSA-N	
C56H42O12	10.7	isohopeaphenol		46988_00055	C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O		495605	YQQUILZPDYJDQJ-UHFFFAOYSA-N	
C6H14N4O2	1.2425	L-Arginine		46988_00056	C(CC(C(=O)O)N)CN=C(N)N		232	ODKSFYDXXFIFQN-UHFFFAOYSA-N	
C4H6O6	1.46	L-tartaric acid		46988_00057	C(C(C(=O)O)O)(C(=O)O)O		875	FEWJPZIEWOKRBE-UHFFFAOYSA-N	
C7H12O6	1.58	quinic acid		46988_00058	C1C(C(C(CC1(C(=O)O)O)O)O)O		1064	AAWZDTNXLSGCEK-UHFFFAOYSA-N	
C4H6O4	3.94	succinic acid		46988_00059	C(CC(=O)O)C(=O)O		1110	KDYFGRWQOYBRFD-UHFFFAOYSA-N	
C3H6O2	3.95	proprionic acid		46988_00060	CCC(=O)O		1032	XBDQKXXYIPTUBI-UHFFFAOYSA-N	
C5H8O5	4.02	citramalic acid		46988_00061	CC(CC(=O)O)(C(=O)O)O		1081	XFTRTWQBIOMVPK-UHFFFAOYSA-N	
C9H11NO3	4.28	L-tyrosine		46988_00062	C1=CC(=CC=C1CC(C(=O)O)N)O		1153	OUYCCCASQSFEME-UHFFFAOYSA-N	
C6H13NO2	4.44	L-isoleucine		46988_00063	CCC(C)C(C(=O)O)N		791	AGPKZVBTJJNPAG-UHFFFAOYSA-N	
C5H14NO	1.294827586	choline		46988_00064	C[N+](C)(C)CCO			OEYIOHPDSNJKLS-UHFFFAOYSA-N	
C5H11NO2	1.340862069	betaine		46988_00065	C[N+](C)(C)CC(=O)[O-]		247	KWIUHFFTVRNATP-UHFFFAOYSA-N	
C5H11NO2	1.340862069	L-valine		46988_00066	CC(C)C(C(=O)O)N		1182	KZSNJWFQEVHDMF-UHFFFAOYSA-N	
C5H9NO2	1.510344828	L-proline		46988_00067	C1CC(NC1)C(=O)O		614	ONIBWKKTOPOVIA-UHFFFAOYSA-N	
C10H17N3O6S	1.696551724	L-glutathione		46988_00068	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N		745	RWSXRVCMGQZWBV-UHFFFAOYSA-N	
C4H4N2O2	2.337068966	uracil		46988_00069	C1=CNC(=O)NC1=O		1174	ISAKRJDGNUQOIC-UHFFFAOYSA-N	
C5H4N4O3	3.442586207	uric acid		46988_00070	C12=C(NC(=O)N1)NC(=O)NC2=O		1175	LEHOTFFKMJEONL-UHFFFAOYSA-N	
C5H4N4O2	3.966206897	xanthine		46988_00071	C1=NC2=C(N1)C(=O)NC(=O)N2		1188	LRFVTYWOQMYALW-UHFFFAOYSA-N	
