name	formula	rt	comment	id	pubchem.cid	pubchem.smiles.canonical	pubchem.smiles.isomeric	
myricetin	C15H10O8	20.46		12301_00023	5281672	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O		
naringenin	C15H12O5	21.04		12301_00024	932	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O		
naringenin 7-glucoside	C21H22O10	19.53		12301_00025	282013	C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O		
o-coumaric acid	C9H8O3	19.73		12301_00026	11968	C1=CC=C(C(=C1)C=CC(=O)O)O		
oxovitisin A	C25H24O13	20.67482759		12301_00027	136740013	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O		
pallidol	C28H22O6	17.57		12301_00028	57518717	C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O		
phloridzin	C21H24O10	20.21		12301_00029	4789	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O		
phloretin	C15H14O5	21.06		12301_00030	4788	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O		
piceatanol	C14H12O4	17.88		12301_00031	4813	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O		
procyanidin B1	C30H26O12	9.66		12301_00032	130556	C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O		
pterostilbene	C16H16O3	21.89		12301_00033	160517	COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC		
quercetin 3,4'-diglucoside	C27H30O17	17.38		12301_00034	22630387	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O		
quercetin 3-glucuronide	C21H18O13	19.91		12301_00035	12004528	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O		
quercetin 4'-glucoside	C21H20O12	20.37		12301_00036	12442954	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O		
quercetin 3-sulfate	C15H10O10S	20.11		12301_00037	5280362	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O		
quercetin 3-glucoside	C21H20O12	20		12301_00038	13179952	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O		
quercetin 3-rutinoside	C27H30O16	20		12301_00039	5293655	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O		
syringic acid	C9H10O5	13.78		12301_00040	10742	COC1=CC(=CC(=C1O)OC)C(=O)O		
taxifolin	C15H12O7	16.82		12301_00041	471	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O		
trans coutaric acid	C13H12O8	10.7		12301_00042	67380062	C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O		
trans-ÃÂµ-viniferin	C21H24O10	20.75625		12301_00043	73830082	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O		
trilobatin	C17H14O7	20.59		12301_00044	5320945	COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O		
rhamnazin	C27H32O14	21.96		12301_00045	4441	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O		
phenacetin	C10H13NO2	19.35		12301_00046	4754	CCOC1=CC=C(C=C1)NC(=O)C		
naringin	C7H12O7	19.86		12301_00047	413696	COC1C(C(C(C(O1)C(=O)O)O)O)O		
methyl-glucuronide	C11H14O5	2.43	doublet	12301_00048	23340	COC(=O)C1=COC(C2C1CC=C2CO)O		
genipin	C11H14O5	16.06		12301_00049	23340	COC(=O)C1=COC(C2C1CC=C2CO)O		
vitisin A	C26H25O14	19.30034483		12301_00050	135430431	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O		
vitisin B	C56H42O12	18.3487931		12301_00051	16138152	C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O		
epigallo-catechin gallate	C22H18O11	12.73		12301_00052	1287	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O		
3,4-dihydroxybenzoic acid	C7H6O4	7.77		12301_00053	72	C1=CC(=C(C=C1C(=O)O)O)O		
caffeic acid+catechin condensation product	C24H20O9	17.82		12301_00054	496377	C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O		
ethyl gallate 	C9H10O5	15.16		12301_00055	13250	CCOC(=O)C1=CC(=C(C(=C1)O)O)O		
isohopeaphenol	C56H42O12	10.7		12301_00056	495605	C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O		
L-Arginine	C6H14N4O2	1.2425		12301_00057	232	C(CC(C(=O)O)N)CN=C(N)N		
L-tartaric acid	C4H6O6	1.46		12301_00058	875	C(C(C(=O)O)O)(C(=O)O)O		
quinic acid	C7H12O6	1.58		12301_00059	1064	C1C(C(C(CC1(C(=O)O)O)O)O)O		
succinic acid	C4H6O4	3.94		12301_00060	1110	C(CC(=O)O)C(=O)O		
proprionic acid	C3H6O2	3.95		12301_00061	1032	CCC(=O)O		
citramalic acid	C5H8O5	4.02		12301_00062	1081	CC(CC(=O)O)(C(=O)O)O		
L-tyrosine	C9H11NO3	4.28		12301_00063	1153	C1=CC(=CC=C1CC(C(=O)O)N)O		
L-isoleucine	C6H13NO2	4.44		12301_00064	791	CCC(C)C(C(=O)O)N		
choline	C5H14NO	1.294827586		12301_00065		C[N+](C)(C)CCO		
betaine	C5H11NO2	1.340862069		12301_00066	247	C[N+](C)(C)CC(=O)[O-]		
L-valine	C5H11NO2	1.340862069		12301_00067	1182	CC(C)C(C(=O)O)N		
L-proline	C5H9NO2	1.510344828		12301_00068	614	C1CC(NC1)C(=O)O		
L-glutathione	C10H17N3O6S	1.696551724		12301_00069	745	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N		
uracil	C4H4N2O2	2.337068966		12301_00070	1174	C1=CNC(=O)NC1=O		
uric acid	C5H4N4O3	3.442586207		12301_00071	1175	C12=C(NC(=O)N1)NC(=O)NC2=O		
xanthine	C5H4N4O2	3.966206897		12301_00072	1188	C1=NC2=C(N1)C(=O)NC(=O)N2		
