rt	comment	id	pubchem.smiles.canonical	pubchem.smiles.isomeric
21.04		45944_00024	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	
19.53		45944_00025	C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O	
19.73		45944_00026	C1=CC=C(C(=C1)C=CC(=O)O)O	
20.67482759		45944_00027	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O	
17.57		45944_00028	C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O	
20.21		45944_00029	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O	
21.06		45944_00030	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O	
17.88		45944_00031	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O	
9.66		45944_00032	C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O	
21.89		45944_00033	COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC	
17.38		45944_00034	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O	
19.91		45944_00035	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O	
20.37		45944_00036	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O	
20.11		45944_00037	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O	
20		45944_00038	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O	
20		45944_00039	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O	
13.78		45944_00040	COC1=CC(=CC(=C1O)OC)C(=O)O	
16.82		45944_00041	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	
10.7		45944_00042	C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O	
20.75625		45944_00043	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O	
20.59		45944_00044	COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O	
21.96		45944_00045	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O	
19.35		45944_00046	CCOC1=CC=C(C=C1)NC(=O)C	
19.86		45944_00047	COC1C(C(C(C(O1)C(=O)O)O)O)O	
2.43	doublet	45944_00048	COC(=O)C1=COC(C2C1CC=C2CO)O	
16.06		45944_00049	COC(=O)C1=COC(C2C1CC=C2CO)O	
19.30034483		45944_00050	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O	
18.3487931		45944_00051	C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O	
12.73		45944_00052	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	
7.77		45944_00053	C1=CC(=C(C=C1C(=O)O)O)O	
17.82		45944_00054	C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O	
15.16		45944_00055	CCOC(=O)C1=CC(=C(C(=C1)O)O)O	
10.7		45944_00056	C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O	
1.2425		45944_00057	C(CC(C(=O)O)N)CN=C(N)N	
1.46		45944_00058	C(C(C(=O)O)O)(C(=O)O)O	
1.58		45944_00059	C1C(C(C(CC1(C(=O)O)O)O)O)O	
3.94		45944_00060	C(CC(=O)O)C(=O)O	
3.95		45944_00061	CCC(=O)O	
4.02		45944_00062	CC(CC(=O)O)(C(=O)O)O	
4.28		45944_00063	C1=CC(=CC=C1CC(C(=O)O)N)O	
4.44		45944_00064	CCC(C)C(C(=O)O)N	
1.294827586		45944_00065	C[N+](C)(C)CCO	
1.340862069		45944_00066	C[N+](C)(C)CC(=O)[O-]	
1.340862069		45944_00067	CC(C)C(C(=O)O)N	
1.510344828		45944_00068	C1CC(NC1)C(=O)O	
1.696551724		45944_00069	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N	
2.337068966		45944_00070	C1=CNC(=O)NC1=O	
3.442586207		45944_00071	C12=C(NC(=O)N1)NC(=O)NC2=O	
3.966206897		45944_00072	C1=NC2=C(N1)C(=O)NC(=O)N2	
