id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
39098_00050	vitisin B	C56H42O12	18.3487931	16138152	C1=CC(=CC=C1[C@@H]2[C@H](C3=C(C=C(C=C3O2)O)/C=C/C4=CC5=C(C=C4)O[C@H]([C@@H]5C6=C7[C@@H]([C@H](OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O	C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O							
39098_00051	epigallo-catechin gallate	C22H18O11	12.73	1287		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O							
39098_00052	3,4-dihydroxybenzoic acid	C7H6O4	7.77	72		C1=CC(=C(C=C1C(=O)O)O)O							
39098_00053	caffeic acid+catechin condensation product	C24H20O9	17.82	496377		C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O							
39098_00054	ethyl gallate 	C9H10O5	15.16	13250		CCOC(=O)C1=CC(=C(C(=C1)O)O)O							
39098_00055	isohopeaphenol	C56H42O12	10.7	495605		C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O							
39098_00056	L-Arginine	C6H14N4O2	1.2425	232		C(CC(C(=O)O)N)CN=C(N)N							
39098_00057	L-tartaric acid	C4H6O6	1.46	875		C(C(C(=O)O)O)(C(=O)O)O							
39098_00058	quinic acid	C7H12O6	1.58	1064		C1C(C(C(CC1(C(=O)O)O)O)O)O							
39098_00059	succinic acid	C4H6O4	3.94	1110		C(CC(=O)O)C(=O)O							
39098_00060	proprionic acid	C3H6O2	3.95	1032		CCC(=O)O							
39098_00061	citramalic acid	C5H8O5	4.02	1081		CC(CC(=O)O)(C(=O)O)O							
39098_00062	L-tyrosine	C9H11NO3	4.28	1153		C1=CC(=CC=C1CC(C(=O)O)N)O							
39098_00063	L-isoleucine	C6H13NO2	4.44	791		CCC(C)C(C(=O)O)N							
39098_00064	choline	C5H14NO	1.294827586			C[N+](C)(C)CCO							
39098_00065	betaine	C5H11NO2	1.340862069	247		C[N+](C)(C)CC(=O)[O-]							
39098_00066	L-valine	C5H11NO2	1.340862069	1182		CC(C)C(C(=O)O)N							
39098_00067	L-proline	C5H9NO2	1.510344828	614		C1CC(NC1)C(=O)O							
39098_00068	L-glutathione	C10H17N3O6S	1.696551724	745		C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N							
39098_00069	uracil	C4H4N2O2	2.337068966	1174		C1=CNC(=O)NC1=O							
39098_00070	uric acid	C5H4N4O3	3.442586207	1175		C12=C(NC(=O)N1)NC(=O)NC2=O							
39098_00071	xanthine	C5H4N4O2	3.966206897	1188		C1=NC2=C(N1)C(=O)NC(=O)N2							
